cluster,n,n_FF,n_FB,FF_pct,FB_pct,purity,dominant
1,125,64,61,0.512,0.488,0.512,FF
2,438,327,111,0.7465753424657534,0.2534246575342466,0.7465753424657534,FF
3,94,52,42,0.5531914893617021,0.44680851063829785,0.5531914893617021,FF
4,121,63,58,0.5206611570247934,0.4793388429752066,0.5206611570247934,FF
5,330,164,166,0.49696969696969695,0.503030303030303,0.503030303030303,FB
6,64,13,51,0.203125,0.796875,0.796875,FB
7,811,329,482,0.40567200986436497,0.594327990135635,0.594327990135635,FB
8,125,91,34,0.728,0.272,0.728,FF
9,88,63,25,0.7159090909090909,0.2840909090909091,0.7159090909090909,FF
10,244,202,42,0.8278688524590164,0.1721311475409836,0.8278688524590164,FF
11,346,304,42,0.8786127167630058,0.12138728323699421,0.8786127167630058,FF
12,185,166,19,0.8972972972972973,0.10270270270270271,0.8972972972972973,FF
