connection_name,fT1,fT23,fT4,fT5,fT6
ACAd_to_VISp_FB,0.469646702480442,0.006912084842286771,0.012533541231960899,0.13234595953019015,0.37856171191512017
RSPagl_to_VISp_FB,0.22847398033696706,0.11445328831128578,0.06038151339295711,0.3343533262179142,0.26233789174087585
VISrl_to_VISp_FB,0.4981641734698485,0.11131875721518293,0.09972828284157699,0.22457631622627516,0.06621247024711636
RSPv_to_VISp_FB,0.5157754542295693,0.025317934037258582,0.02817808529601732,0.16536638732388198,0.2653621391132728
VISa_to_VISp_FB,0.4367058899242416,0.12570552921002906,0.07518163619682788,0.14897301835934113,0.21343392630956032
VISl_to_VISp_FB,0.49232155905126357,0.12283615675481936,0.09910024958436221,0.18705158370519656,0.09869045090435825
RSPd_to_VISp_FB,0.4252621450463982,0.0540805693059244,0.05031908056028489,0.2167603252062454,0.25357787988114716
VISpm_to_VISp_FB,0.2707984421340383,0.19744154717627901,0.12092681314663527,0.32756609786845287,0.08326709967459447
VISal_to_VISp_FB,0.40850086461853685,0.14515174683545265,0.08256452335199706,0.2549044048486318,0.10887846034538154
TEa_to_VISp_FB,0.33741714907971065,0.06663522324236609,0.07366521462386123,0.1529723773115658,0.3693100357424962
VISam_to_VISp_FB,0.554458890298339,0.0491531101161093,0.10966301773939344,0.14044871756999874,0.1462762642761595
VISpor_to_VISp_FB,0.46278008953811095,0.10114112628150061,0.025297337185382726,0.18741529167724125,0.22336615531776446
VISli_to_VISp_FB,0.5506712431852971,0.1684704292211827,0.03714631406825783,0.17126296759198412,0.07244904593327811
VISpl_to_VISp_FB,0.45653320498703776,0.07628207787179911,0.06008309472518326,0.3103674871506394,0.09673413526534043
